full_text,username,created_at
Rada sangsi anjir sama kasus ini kalo misal pelaku udah ditangkap dan dipenjara terus kalo udah bebas kalo puji Tuhannya dia berubah dan nggak ngejarngejar lagi ya its a good thing tapi kalo tetep jadi stalker waduh gawat kasian mbaknya Tapi kalo nyumpahin mati si pelaku,Mokasellingacc,Thu May 16 21:19:10 +0000 2024
apa karena Vina bukan orang kaya atau karena pelaku anak polisi,FoodaholicPr,Thu May 16 21:17:21 +0000 2024
Teman Pelaku udah tertangkap Nama jelas Alamat jelas 2016 sudah ada sosmed DPO no face or hiden,MPrimbon,Thu May 16 21:14:54 +0000 2024
Ketika tindakan pelaku bully di sekolah terlalu sering dimaklumi sama orang tua dan guru mungkin solusi paling tepat adalah membully kembally para pembully Biar timbul kesadaran sama rasa sama nasib Tapi morally incorrect sih,Enji_PW,Thu May 16 21:14:41 +0000 2024
Yg kakak adik itu istri korban sma istri pelaku kalo suami2 nya cuma mantu coba deh baca lgi di situ ada kalimat mantu kabehmantu semua,gula_jawwa,Thu May 16 21:06:54 +0000 2024
pelaku utamanya belum ketangkep kok bisaaa itu 8 orang udah di penjara dan kenal dia,leawfy,Thu May 16 21:03:58 +0000 2024
Hotman Paris Minta Polisi Buka Ulang Kasus Vina Cirebon dan Cari 3 Pelaku yang Belum Ditangkap,MSNindonesia,Thu May 16 21:02:36 +0000 2024
Semoga cepat ketangkap aktor pelaku,Amrizaldy511,Thu May 16 21:01:52 +0000 2024
Polda Metro Jaya Bakal Tindak Tegas Pelaku Begal,Kabar_Tangsel,Thu May 16 20:57:21 +0000 2024
katanya tuh korban anak anggota polisi perwira malah biasanya gercep kl korban keluarga polisi eeeemmm jadi curiga apa mungkin pelaku jadi korban sampe ga ketangkep tuh hati hati pak pol sama netizen,cuaqilxjaga,Thu May 16 20:55:20 +0000 2024
