full_text,username,created_at
i'm a little doubtful about this case  if for example the perpetrator has been arrested and imprisoned and then if he is released  if he praises God he changes and doesn't pursue it anymore  that's a good thing  but if he continues to be a stalker  wow  I'm really sorry for you  but if you swear to death  the perpetrator will die ,Mokasellingacc,Thu May 16 21:19:10 +0000 2024
Is it because Vina is not rich or because the perpetrator is the son of a police officer,FoodaholicPr,Thu May 16 21:17:21 +0000 2024
the perpetrator's friend has been caught  clear name  clear address  2016  there is already a social media dpo  no face or hidden,MPrimbon,Thu May 16 21:14:54 +0000 2024
when the actions of bullies at school are too often condoned by parents and teachers  perhaps the most appropriate solution is to bully the bullies again so that awareness arises of the same fate but it is morally incorrect ,Enji_PW,Thu May 16 21:14:41 +0000 2024
the brothers and sisters are the victim's wife and the perpetrator's wife  if the husbands are just in-laws  try reading again  There is a sentence  in-laws  kabehmantu  all of them ,gula_jawwa,Thu May 16 21:06:54 +0000 2024
The main perpetrator hasn't been arrested yet  how could 8 people already be in prison and know him,leawfy,Thu May 16 21:03:58 +0000 2024
hotman Paris asks the police to reopen the Vina Cirebon case and look for the 3 perpetrators who have not been arrested,MSNindonesia,Thu May 16 21:02:36 +0000 2024
hopefully the perpetrator will be caught quickly,Amrizaldy511,Thu May 16 21:01:52 +0000 2024
polda Metro Jaya will take firm action against perpetrators of robbery,Kabar_Tangsel,Thu May 16 20:57:21 +0000 2024
he said that the victim was the child of a police officer  but usually the victim is a police officer's family  so I'm suspicious  is it possible that the perpetrator may have become a victim and the police and netizens won't be caught,cuaqilxjaga,Thu May 16 20:55:20 +0000 2024
On the first day there were 88 fisheries business actors who took part in this activity  It is hoped that this activity can help small-scale fishermen obtain free and transparent permits from the government ,DPMPTSPJateng,Thu May 16 20:50:19 +0000 2024
who knows  among the 3 perpetrators  there is someone who is stressed  being haunted by a shadow and guilty of sin  so hopefully he doesn't get caught before he is caught  he shoots him dead straight away ,ghef1945,Thu May 16 20:50:16 +0000 2024
perpetrators of sexual harassment and exposing their genitals share with other viral news media so that their extended family and friends will see Namajiwa Alfalah WhatsApp number 6283897092732,BERITA4643651,Thu May 16 20:45:28 +0000 2024
As someone with a disability  I'm really sad  I swear the perpetrator will die  I hope it doesn't happen to you,bukanDeecoRen,Thu May 16 20:44:12 +0000 2024
I hope it doesn't happen to the perpetrator who typed  just be careful  sick people  if you pray  your heart will usually get it answered ,bukanDeecoRen,Thu May 16 20:40:57 +0000 2024
If in the US the law could protect anyone who feels disturbed by other people's actions  for example stalking a stalker or so on  then they can be reported to the police  then the perpetrator will get a warning letter not to contact & keep a distance of 2050 m from the victim  If violated  they can be punished ,rrwaaan_subuh,Thu May 16 20:26:31 +0000 2024
Don't worry  the main perpetrators  3 of whom have already died  have already been killed  who wouldn't be hurt when they saw their children brutally murdered?,wae_pipit,Thu May 16 20:11:28 +0000 2024
Why does the victim always have to think about the perpetrator's future?,baesashimi,Thu May 16 20:09:48 +0000 2024
The case in Bogor has not yet been revealed  the female student whose name was Noven  who was stabbed to death  it's been a long time since the perpetrator was caught ,Yasinuzumaki48,Thu May 16 20:09:15 +0000 2024
UB has had many perpetrators of sexual harassment or violence  but on the campus itself it takes a really long time to make the process that the author said  I don't know what the news is like  the campus is really silent or not ,ziophelia,Thu May 16 20:08:36 +0000 2024
It's crazy why you protect suspects  wow  how many criminals do they do that?,jinscutetongue,Thu May 16 20:05:30 +0000 2024
